Variable,VariableL1,Unit,VarGroup
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Greenhouse Gases|CICERO-SCM|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Greenhouse Gases|FaIRv1.6.2|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Non-CO2 Greenhouse Gases|CICERO-SCM|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Non-CO2 Greenhouse Gases|FaIRv1.6.2|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|CH4|CICERO-SCM|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|CH4|FaIRv1.6.2|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|33.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|5.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|67.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|CICERO-SCM|95.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|CO2|CICERO-SCM|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|CO2|FaIRv1.6.2|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|33.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|5.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|67.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|FaIRv1.6.2|95.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|33.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|5.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|50.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|67.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|95.0th Percentile,AR6 climate diagnostics,W/m^2,Emissions & Climate
AR6 climate diagnostics|Emissions|Kyoto Gases (AR5-GWP100),AR6 climate diagnostics,Mt CO2-equiv/yr,Emissions & Climate
AR6 climate diagnostics|Emissions|Kyoto Gases (AR6-GWP100),AR6 climate diagnostics,Mt CO2-equiv/yr,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 1.5C|CICERO-SCM,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 1.5C|FaIRv1.6.2,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 1.5C|MAGICCv7.5.3,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 2.0C|CICERO-SCM,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 2.0C|FaIRv1.6.2,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 2.0C|MAGICCv7.5.3,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 2.5C|CICERO-SCM,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 2.5C|FaIRv1.6.2,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 2.5C|MAGICCv7.5.3,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 3.0C|CICERO-SCM,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 3.0C|FaIRv1.6.2,AR6 climate diagnostics,dimensionless,Emissions & Climate
AR6 climate diagnostics|Exceedance Probability 3.0C|MAGICCv7.5.3,AR6 climate diagnostics,dimensionless,Emissions & Climate
